YEAR,CANDIDATE,ONES,TWOS,THREES,FOURS,FIVES,SIXES,SEVENS,EIGHTS,NINES
2000,'Al Gore',450.6819590824551,270.73775573465593,196.93118412895225,154.02975821450713,126.06943583384997,101.98388096714197,87.78673279603224,77.15437073775574,73.18660880347178
2000,'George W. Bush',450.7129572225667,270.73775573465593,196.93118412895225,154.02975821450713,126.06943583384997,101.98388096714197,87.78673279603224,77.15437073775574,73.18660880347178
2000,'Ralph Nader',450.7129572225667,270.7687538747675,196.93118412895225,154.02975821450713,126.06943583384997,101.98388096714197,87.78673279603224,77.15437073775574,73.18660880347178
2000,'Other',450.74395536267826,270.7687538747675,196.93118412895225,154.02975821450713,126.06943583384997,101.98388096714197,87.78673279603224,77.15437073775574,73.18660880347178
2004,'John Kerry',251.34761575673807,151.03662750518313,110.15894955079474,86.38562543192813,70.62888735314444,57.049067035245336,49.04975812024879,43.10642709053214,40.860400829302
2004,'George W. Bush',251.34761575673807,151.03662750518313,110.17622667588114,86.38562543192813,70.62888735314444,57.049067035245336,49.04975812024879,43.10642709053214,40.860400829302
2004,'Other',251.34761575673807,151.05390463026953,110.17622667588114,86.38562543192813,70.62888735314444,57.049067035245336,49.04975812024879,43.10642709053214,40.860400829302
2008,'Barack Obama',291.38,175.68,127.92,100.4,81.88,66.14,56.84,49.96,47.3
2008,'John McCain',291.38,175.7,127.92,100.4,81.88,66.14,56.84,49.96,47.3
2008,'Other',291.4,175.7,127.92,100.4,81.88,66.14,56.84,49.96,47.3
2012,'Barack Obama',344.297520661157,208.17001180637544,151.94805194805195,119.05548996458087,96.95395513577331,78.15820543093271,67.10743801652893,58.98465171192444,55.84415584415584
2012,'Mitt Romney',344.3211334120425,208.17001180637544,151.94805194805195,119.05548996458087,96.95395513577331,78.15820543093271,67.10743801652893,58.98465171192444,55.84415584415584
2012,'Other',344.344746162928,208.17001180637544,151.94805194805195,119.05548996458087,96.95395513577331,78.15820543093271,67.10743801652893,58.98465171192444,55.84415584415584
2016,'Hillary Clinton',289.003164556962,174.70332278481013,127.70965189873418,100.01977848101266,81.32911392405063,65.625,56.30933544303797,49.56487341772152,46.99367088607595
2016,'Donald Trump',289.003164556962,174.70332278481013,127.70965189873418,100.03955696202532,81.32911392405063,65.625,56.30933544303797,49.56487341772152,46.99367088607595
2016,'Other',289.003164556962,174.72310126582278,127.70965189873418,100.03955696202532,81.32911392405063,65.625,56.30933544303797,49.56487341772152,46.99367088607595
