COUNTY,PREDICTION_RATE
Lincoln,ME,0.6
Oxford,ME,0.6
Penobscot,ME,0.8
Piscataquis,ME,0.6
Sagadahoc,ME,0.4
Somerset,ME,0.4
Waldo,ME,0.2
Washington,ME,1.0
York,ME,0.4
Allegany,MD,0.6
Anne Arundel,MD,0.2
Baltimore,MD,0.4
Calvert,MD,0.6
Caroline,MD,0.6
Carroll,MD,0.6
Cecil,MD,0.6
Charles,MD,0.4
Dorchester,MD,0.6
Frederick,MD,0.6
Garrett,MD,0.4
Harford,MD,0.6
Howard,MD,0.6
Kent,MD,0.8
Montgomery,MD,0.6
Prince George's,MD,0.4
Queen Anne's,MD,0.6
St. Mary's,MD,0.6
Somerset,MD,0.6
Talbot,MD,0.6
Washington,MD,0.6
Wicomico,MD,0.6
Worcester,MD,0.0
Baltimore City,MD,0.6
Barnstable,MA,0.4
Berkshire,MA,0.4
Bristol,MA,0.4
Dukes,MA,0.4
Essex,MA,0.4
Franklin,MA,0.0
Hampden,MA,0.6
Hampshire,MA,0.4
Middlesex,MA,0.4
Nantucket,MA,0.4
Norfolk,MA,0.4
Plymouth,MA,0.6
Suffolk,MA,0.6
Worcester,MA,0.4
Alcona,MI,0.6
Alger,MI,0.6
Allegan,MI,0.6
Alpena,MI,0.6
Antrim,MI,0.6
Arenac,MI,0.4
Baraga,MI,0.6
Barry,MI,0.2
Bay,MI,0.6
Benzie,MI,0.8
Berrien,MI,0.8
Branch,MI,0.4
Calhoun,MI,0.8
Cass,MI,0.4
Charlevoix,MI,0.6
Cheboygan,MI,0.6
Chippewa,MI,0.6
Clare,MI,0.6
Clinton,MI,0.8
Crawford,MI,0.6
Delta,MI,0.6
Dickinson,MI,0.6
Eaton,MI,1.0
Emmet,MI,0.4
Genesee,MI,0.6
Gladwin,MI,0.8
Gogebic,MI,0.6
Grand Traverse,MI,0.6
Gratiot,MI,0.8
Hillsdale,MI,0.4
Houghton,MI,0.6
Huron,MI,0.4
Ingham,MI,0.4
Ionia,MI,0.2
Iosco,MI,0.6
Iron,MI,0.6
Isabella,MI,0.6
Jackson,MI,0.8
Kalamazoo,MI,0.4
Kalkaska,MI,0.6
Kent,MI,0.6
Keweenaw,MI,0.6
Lake,MI,0.6
Lapeer,MI,0.6
Leelanau,MI,0.8
Lenawee,MI,0.8
Livingston,MI,0.6
Luce,MI,0.4
Mackinac,MI,0.6
Macomb,MI,0.8
Manistee,MI,0.8
Marquette,MI,0.4
Mason,MI,0.8
Mecosta,MI,0.4
Menominee,MI,0.8
Midland,MI,0.6
Missaukee,MI,0.6
Monroe,MI,0.8
Montcalm,MI,0.2
Montmorency,MI,0.6
Muskegon,MI,0.4
Newaygo,MI,0.2
Oakland,MI,0.4
Oceana,MI,0.8
Ogemaw,MI,0.6
Ontonagon,MI,0.8
Osceola,MI,0.6
Oscoda,MI,0.6
Otsego,MI,0.6
Ottawa,MI,0.6
Presque Isle,MI,0.8
Roscommon,MI,0.6
Saginaw,MI,0.6
St. Clair,MI,0.8
St. Joseph,MI,0.0
Sanilac,MI,0.4
Schoolcraft,MI,0.8
Shiawassee,MI,1.0
Tuscola,MI,0.4
Van Buren,MI,1.0
Washtenaw,MI,0.4
Wayne,MI,0.4
Wexford,MI,0.4
Aitkin,MN,0.6
Anoka,MN,0.6
Becker,MN,0.4
Beltrami,MN,0.2
Benton,MN,0.6
Big Stone,MN,0.2
Blue Earth,MN,0.8
Brown,MN,0.6
Carlton,MN,0.2
Carver,MN,0.6
Cass,MN,0.6
Chippewa,MN,0.8
Chisago,MN,0.2
Clay,MN,1.0
Clearwater,MN,0.6
Cook,MN,0.6
Cottonwood,MN,0.6
Crow Wing,MN,0.6
Dakota,MN,1.0
Dodge,MN,0.6
Douglas,MN,0.6
Faribault,MN,0.6
Fillmore,MN,0.6
Freeborn,MN,0.6
Goodhue,MN,0.2
Grant,MN,0.8
Hennepin,MN,0.4
Houston,MN,1.0
Hubbard,MN,0.6
Isanti,MN,0.6
Itasca,MN,0.6
Jackson,MN,0.6
Kanabec,MN,0.6
Kandiyohi,MN,0.2
Kittson,MN,0.6
Koochiching,MN,0.8
Lac Qui Parle,MN,0.6
Lake,MN,0.4
Lake of the Woods,MN,0.4
Le Sueur,MN,0.6
Lincoln,MN,0.4
Lyon,MN,0.6
McLeod,MN,0.6
Mahnomen,MN,0.2
Marshall,MN,0.8
Martin,MN,0.6
Meeker,MN,0.6
Mille Lacs,MN,0.6
Morrison,MN,0.6
Mower,MN,0.6
Murray,MN,0.8
Nicollet,MN,0.8
Nobles,MN,0.6
Norman,MN,0.8
Olmsted,MN,0.8
Otter Tail,MN,0.2
Pennington,MN,0.8
Pine,MN,0.4
Pipestone,MN,0.6
Polk,MN,0.8
Pope,MN,0.8
Ramsey,MN,0.6
Red Lake,MN,0.0
Redwood,MN,0.6
Renville,MN,0.6
Rice,MN,0.6
Rock,MN,0.6
Roseau,MN,0.6
Saint Louis,MN,0.4
Scott,MN,0.6
Sherburne,MN,0.6
Sibley,MN,0.6
Stearns,MN,0.6
Steele,MN,0.4
Stevens,MN,0.8
Swift,MN,0.6
Todd,MN,0.6
Traverse,MN,0.4
Wabasha,MN,0.6
Wadena,MN,0.6
Waseca,MN,0.6
Washington,MN,0.8
Watonwan,MN,0.8
Wilkin,MN,0.4
Winona,MN,0.6
Wright,MN,0.6
Yellow Medicine,MN,0.8
Adams,MS,0.4
Alcorn,MS,0.8
Amite,MS,0.6
Attala,MS,0.6
Benton,MS,0.4
Bolivar,MS,0.0
Calhoun,MS,0.6
Carroll,MS,0.6
Chickasaw,MS,1.0
Choctaw,MS,0.6
Claiborne,MS,0.6
Clarke,MS,0.6
Clay,MS,0.4
Coahoma,MS,0.4
Copiah,MS,0.8
Covington,MS,0.6
DeSoto,MS,0.4
Forrest,MS,0.2
Franklin,MS,0.6
George,MS,0.6
Greene,MS,0.4
Grenada,MS,0.6
Hancock,MS,0.6
Harrison,MS,0.6
Hinds,MS,0.4
Holmes,MS,0.4
Humphreys,MS,0.4
Issaquena,MS,0.4
Itawamba,MS,0.6
Jackson,MS,0.6
Jasper,MS,0.6
Jefferson,MS,0.6
Jefferson Davis,MS,0.4
Jones,MS,0.4
Kemper,MS,0.4
Lafayette,MS,0.8
Lamar,MS,0.4
Lauderdale,MS,0.4
Lawrence,MS,0.6
Leake,MS,0.6
Lee,MS,0.2
Leflore,MS,0.4
Lincoln,MS,0.8
Lowndes,MS,0.2
Madison,MS,0.6
Marion,MS,0.6
Marshall,MS,0.4
Monroe,MS,0.6
Montgomery,MS,0.6
Neshoba,MS,0.6
Newton,MS,0.6
Noxubee,MS,0.4
Oktibbeha,MS,0.8
Panola,MS,0.8
Pearl River,MS,0.4
Perry,MS,0.6
Pike,MS,0.8
Pontotoc,MS,0.4
Prentiss,MS,0.6
Quitman,MS,0.4
Rankin,MS,0.4
Scott,MS,0.6
Sharkey,MS,0.2
Simpson,MS,0.6
Smith,MS,0.6
Stone,MS,0.6
Sunflower,MS,0.4
Tallahatchie,MS,0.4
Tate,MS,0.6
Tippah,MS,0.6
Tishomingo,MS,0.4
Tunica,MS,0.8
Union,MS,0.6
Walthall,MS,0.6
Warren,MS,0.4
Washington,MS,0.6
Wayne,MS,0.6
Webster,MS,0.6
Wilkinson,MS,0.4
Winston,MS,0.6
Yalobusha,MS,0.4
Yazoo,MS,0.8
Adair,MO,0.6
Andrew,MO,0.6
Atchison,MO,0.6
Audrain,MO,0.6
Barry,MO,0.4
Barton,MO,0.4
Bates,MO,0.6
Benton,MO,0.6
Bollinger,MO,0.4
Boone,MO,0.6
Buchanan,MO,0.6
Butler,MO,0.6
Caldwell,MO,0.4
Callaway,MO,0.6
Camden,MO,0.4
Cape Girardeau,MO,0.4
Carroll,MO,0.4
Carter,MO,0.4
Cass,MO,0.6
Cedar,MO,0.6
Chariton,MO,0.4
Christian,MO,0.2
Clark,MO,0.4
Clay,MO,0.4
Clinton,MO,0.6
Cole,MO,0.6
Cooper,MO,0.6
Crawford,MO,0.6
Dade,MO,0.6
Dallas,MO,0.6
Daviess,MO,0.4
DeKalb,MO,0.4
Dent,MO,0.4
Douglas,MO,0.4
Dunklin,MO,0.6
Franklin,MO,0.6
Gasconade,MO,0.6
Gentry,MO,0.6
Greene,MO,0.6
Grundy,MO,0.4
Harrison,MO,0.6
Henry,MO,0.6
Hickory,MO,0.6
Holt,MO,0.4
Howard,MO,0.6
Howell,MO,0.6
Iron,MO,0.6
Jackson,MO,0.4
Jasper,MO,0.6
Jefferson,MO,0.6
Johnson,MO,0.6
Knox,MO,0.4
Laclede,MO,0.6
Lafayette,MO,0.4
Lawrence,MO,0.6
Lewis,MO,0.4
Lincoln,MO,0.4
Linn,MO,0.6
Livingston,MO,0.6
McDonald,MO,0.6
Macon,MO,0.6
Madison,MO,0.6
Maries,MO,0.4
Marion,MO,0.6
Mercer,MO,0.4
Miller,MO,0.6
Mississippi,MO,0.4
Moniteau,MO,0.6
Monroe,MO,0.4
Montgomery,MO,0.6
Morgan,MO,0.6
New Madrid,MO,0.4
Newton,MO,0.4
Nodaway,MO,0.6
Oregon,MO,0.4
Osage,MO,0.4
Ozark,MO,0.4
Pemiscot,MO,0.4
Perry,MO,0.6
Pettis,MO,0.6
Phelps,MO,0.6
Pike,MO,0.6
Platte,MO,0.6
Polk,MO,0.4
Pulaski,MO,0.6
Putnam,MO,0.4
Ralls,MO,0.6
Randolph,MO,0.6
Ray,MO,0.4
Reynolds,MO,0.4
Ripley,MO,0.4
St. Charles,MO,0.8
St. Clair,MO,0.4
Ste. Genevieve,MO,0.4
St. Francois,MO,0.6
St. Louis County,MO,0.4
Saline,MO,0.4
Schuyler,MO,0.4
Scotland,MO,0.4
Scott,MO,0.6
Shannon,MO,0.4
Shelby,MO,0.6
Stoddard,MO,0.4
Stone,MO,0.6
Sullivan,MO,0.6
Taney,MO,0.6
Texas,MO,0.6
Vernon,MO,0.6
Warren,MO,0.4
Washington,MO,0.6
Wayne,MO,0.4
Webster,MO,0.6
Worth,MO,0.6
Wright,MO,0.6
St. Louis City,MO,0.4
Beaverhead,MT,0.4
Big Horn,MT,0.4
Blaine,MT,1.0
Broadwater,MT,0.4
Carbon,MT,0.6
Carter,MT,0.4
Cascade,MT,0.8
Chouteau,MT,0.2
Custer,MT,0.6
Daniels,MT,0.6
Dawson,MT,0.4
Deer Lodge,MT,0.4
Fallon,MT,0.4
Fergus,MT,0.6
Flathead,MT,0.4
Gallatin,MT,0.6
Garfield,MT,0.8
Glacier,MT,0.4
Golden Valley,MT,0.2
Granite,MT,0.4
Hill,MT,1.0
Jefferson,MT,0.6
Judith Basin,MT,0.4
Lake,MT,0.8
Lewis and Clark,MT,0.6
Liberty,MT,0.6
Lincoln,MT,0.6
McCone,MT,0.6
Madison,MT,0.2
Meagher,MT,0.6
Mineral,MT,0.4
Missoula,MT,0.6
Musselshell,MT,0.4
Park,MT,0.6
Petroleum,MT,0.4
Phillips,MT,0.4
Pondera,MT,0.2
Powder River,MT,0.6
Powell,MT,0.2
Prairie,MT,0.6
Ravalli,MT,0.4
Richland,MT,0.4
Roosevelt,MT,0.6
Rosebud,MT,0.6
Sanders,MT,0.6
Sheridan,MT,0.2
Silver Bow,MT,0.0
Stillwater,MT,0.2
Sweet Grass,MT,0.4
Teton,MT,0.2
Toole,MT,0.4
Treasure,MT,0.4
Valley,MT,0.4
Wheatland,MT,0.6
Wibaux,MT,0.6
Yellowstone,MT,0.6
Adams,NE,0.6
Antelope,NE,0.4
Arthur,NE,0.8
Banner,NE,0.6
Blaine,NE,0.4
Boone,NE,0.4
Box Butte,NE,0.4
Boyd,NE,0.6
Brown,NE,0.4
Buffalo,NE,0.4
Burt,NE,0.4
Butler,NE,0.4
Cass,NE,0.6
Cedar,NE,0.6
Chase,NE,0.4
Cherry,NE,0.4
Cheyenne,NE,0.0
Clay,NE,0.4
Colfax,NE,0.2
Cuming,NE,0.0
Custer,NE,0.2
Dakota,NE,0.6
Dawes,NE,0.2
Dawson,NE,0.6
Deuel,NE,0.6
Dixon,NE,0.4
Dodge,NE,0.4
Douglas,NE,0.2
Dundy,NE,0.4
Fillmore,NE,0.4
Franklin,NE,0.4
Frontier,NE,0.4
Furnas,NE,0.4
Gage,NE,0.6
Garden,NE,0.6
Garfield,NE,0.6
Gosper,NE,0.6
Grant,NE,0.4
Greeley,NE,0.6
Hall,NE,0.4
Hamilton,NE,0.4
Harlan,NE,0.4
Hayes,NE,0.6
Hitchcock,NE,0.4
Holt,NE,0.2
Hooker,NE,0.4
Howard,NE,0.2
Jefferson,NE,0.4
Johnson,NE,0.4
Kearney,NE,0.4
Keith,NE,0.4
Keya Paha,NE,0.4
Kimball,NE,0.4
Knox,NE,0.4
Lancaster,NE,0.6
Lincoln,NE,0.6
Logan,NE,0.6
Loup,NE,0.4
McPherson,NE,0.6
Madison,NE,0.4
Merrick,NE,0.4
Morrill,NE,0.4
Nance,NE,0.4
Nemaha,NE,0.4
Nuckolls,NE,0.4
Otoe,NE,0.6
Pawnee,NE,0.6
Perkins,NE,0.4
Phelps,NE,0.2
Pierce,NE,0.4
Platte,NE,0.4
Polk,NE,0.4
Red Willow,NE,0.6
Richardson,NE,0.4
Rock,NE,0.4
Saline,NE,0.8
Sarpy,NE,0.6
Saunders,NE,0.6
Scotts Bluff,NE,0.2
Seward,NE,0.6
Sheridan,NE,0.4
Sherman,NE,0.0
Sioux,NE,0.2
Stanton,NE,0.4
Thayer,NE,0.4
Thomas,NE,0.6
Thurston,NE,0.0
Valley,NE,0.4
Washington,NE,0.6
Wayne,NE,0.4
Webster,NE,0.4
Wheeler,NE,0.4
York,NE,0.6
Churchill,NV,0.6
Clark,NV,0.4
Douglas,NV,0.2
Elko,NV,0.4
Esmeralda,NV,0.4
Eureka,NV,0.4
Humboldt,NV,0.6
Lander,NV,0.4
Lincoln,NV,0.4
Lyon,NV,0.6
Mineral,NV,0.2
Nye,NV,0.6
Pershing,NV,0.4
Storey,NV,0.2
Washoe,NV,0.8
White Pine,NV,0.6
Carson City,NV,0.2
Belknap,NH,0.8
Carroll,NH,0.6
Cheshire,NH,0.4
Coos,NH,0.8
Grafton,NH,0.4
Hillsborough,NH,0.4
Merrimack,NH,0.4
Rockingham,NH,0.8
Strafford,NH,0.4
Sullivan,NH,0.4
Atlantic,NJ,0.4
Bergen,NJ,0.4
Burlington,NJ,0.4
Camden,NJ,0.6
Cape May,NJ,0.6
Cumberland,NJ,0.4
Essex,NJ,0.6
Gloucester,NJ,0.6
Hudson,NJ,0.6
Hunterdon,NJ,0.6
Mercer,NJ,0.2
Middlesex,NJ,0.6
Monmouth,NJ,0.4
Morris,NJ,0.2
Ocean,NJ,0.2
Passaic,NJ,0.2
Salem,NJ,0.8
Somerset,NJ,0.8
Sussex,NJ,0.6
Union,NJ,0.6
Warren,NJ,0.6
Bernalillo,NM,0.6
Catron,NM,0.4
Chaves,NM,0.4
Cibola,NM,0.4
Colfax,NM,0.8
Curry,NM,0.4
De Baca,NM,0.6
Dona Ana,NM,0.4
Eddy,NM,0.4
Grant,NM,0.4
Guadalupe,NM,0.4
Harding,NM,0.6
Hidalgo,NM,0.8
Lea,NM,0.4
Lincoln,NM,0.6
Los Alamos,NM,0.8
Luna,NM,0.8
McKinley,NM,0.6
Mora,NM,0.6
Otero,NM,0.4
Quay,NM,0.6
Rio Arriba,NM,0.0
Roosevelt,NM,0.6
Sandoval,NM,0.8
San Juan,NM,0.6
San Miguel,NM,0.2
Santa Fe,NM,0.4
Sierra,NM,0.6
Socorro,NM,0.4
Taos,NM,0.4
Torrance,NM,0.6
Union,NM,0.4
Valencia,NM,0.8
Albany,NY,0.4
Allegany,NY,0.2
Bronx,NY,0.8
Broome,NY,0.6
Cattaraugus,NY,0.4
Cayuga,NY,0.6
Chautauqua,NY,0.8
Chemung,NY,0.8
Chenango,NY,0.0
Clinton,NY,0.2
Columbia,NY,0.4
Cortland,NY,0.8
Delaware,NY,0.2
Dutchess,NY,0.8
Erie,NY,0.4
Essex,NY,0.8
Franklin,NY,0.4
Fulton,NY,0.2
Genesee,NY,0.4
Greene,NY,0.2
Hamilton,NY,0.4
Herkimer,NY,0.4
Jefferson,NY,0.6
Kings,NY,0.6
Lewis,NY,0.6
Livingston,NY,0.6
Madison,NY,1.0
Monroe,NY,0.4
Montgomery,NY,0.6
Nassau,NY,0.4
New York,NY,0.4
Niagara,NY,0.6
Oneida,NY,0.6
Onondaga,NY,0.6
Ontario,NY,0.8
Orange,NY,1.0
Orleans,NY,0.4
Oswego,NY,1.0
Otsego,NY,1.0
Putnam,NY,0.6
Queens,NY,0.4
Rensselaer,NY,0.6
Richmond,NY,0.4
Rockland,NY,0.4
St. Lawrence,NY,0.6
Saratoga,NY,1.0
Schenectady,NY,0.4
Schoharie,NY,0.6
Schuyler,NY,0.6
Seneca,NY,0.8
Steuben,NY,0.6
Suffolk,NY,0.6
Sullivan,NY,0.6
Tioga,NY,0.2
Tompkins,NY,0.4
Ulster,NY,0.4
Warren,NY,1.0
Washington,NY,0.4
Wayne,NY,0.6
Westchester,NY,0.4
Wyoming,NY,0.2
Yates,NY,0.6
Alamance,NC,0.6
Alexander,NC,0.6
Alleghany,NC,0.6
Anson,NC,0.4
Ashe,NC,0.6
Avery,NC,0.6
Beaufort,NC,0.4
Bertie,NC,0.4
Bladen,NC,0.8
Brunswick,NC,0.6
Buncombe,NC,0.8
Burke,NC,0.6
Cabarrus,NC,0.6
Caldwell,NC,0.0
Camden,NC,0.6
Carteret,NC,0.0
Caswell,NC,0.8
Catawba,NC,0.6
Chatham,NC,0.4
Cherokee,NC,0.4
Chowan,NC,0.4
Clay,NC,0.6
Cleveland,NC,0.6
Columbus,NC,0.2
Craven,NC,0.6
Cumberland,NC,0.6
Currituck,NC,0.6
Dare,NC,0.6
Davidson,NC,0.6
Davie,NC,0.4
Duplin,NC,0.8
Durham,NC,0.2
Edgecombe,NC,0.6
Forsyth,NC,0.8
Franklin,NC,0.4
Gaston,NC,0.6
Gates,NC,0.6
Graham,NC,0.4
Granville,NC,0.8
Greene,NC,0.6
Guilford,NC,0.8
Halifax,NC,0.6
Harnett,NC,0.4
Haywood,NC,0.4
Henderson,NC,0.6
Hertford,NC,0.4
Hoke,NC,0.2
Hyde,NC,0.6
Iredell,NC,0.6
Jackson,NC,0.8
Johnston,NC,0.6
Jones,NC,0.6
Lee,NC,0.4
Lenoir,NC,0.4
Lincoln,NC,0.0
McDowell,NC,0.6
Macon,NC,0.8
Madison,NC,0.6
Martin,NC,0.8
Mecklenburg,NC,0.6
Mitchell,NC,0.6
Montgomery,NC,0.6
Moore,NC,0.6
Nash,NC,0.8
New Hanover,NC,0.6
Northampton,NC,0.4
Onslow,NC,0.6
Orange,NC,0.4
Pamlico,NC,0.6
Pasquotank,NC,0.0
Pender,NC,0.6
Perquimans,NC,0.6
Person,NC,0.8
Pitt,NC,0.8
Polk,NC,0.6
Randolph,NC,0.6
Richmond,NC,0.4
Robeson,NC,0.6
Rockingham,NC,0.6
Rowan,NC,0.6
Rutherford,NC,0.4
Sampson,NC,0.2
Scotland,NC,0.4
Stanly,NC,0.4
Stokes,NC,0.4
Surry,NC,0.2
Swain,NC,0.6
Transylvania,NC,0.4
Tyrrell,NC,0.4
Union,NC,0.6
Vance,NC,0.2
Wake,NC,0.8
Warren,NC,0.4
Washington,NC,0.4
Watauga,NC,0.4
Wayne,NC,0.6
Wilkes,NC,0.4
Wilson,NC,0.8
Yadkin,NC,0.4
Yancey,NC,0.6
Adams,ND,0.6
Barnes,ND,0.6
Benson,ND,0.2
Billings,ND,0.2
Bottineau,ND,0.4
Bowman,ND,0.4
Burke,ND,0.6
Burleigh,ND,0.4
Cass,ND,0.8
Cavalier,ND,0.4
Dickey,ND,0.2
Divide,ND,0.6
Dunn,ND,0.4
Eddy,ND,0.8
Emmons,ND,0.4
Foster,ND,0.2
Golden Valley,ND,0.4
Grand Forks,ND,0.8
Grant,ND,0.4
Griggs,ND,0.6
Hettinger,ND,0.2
Kidder,ND,0.4
LaMoure,ND,0.4
Logan,ND,0.6
McHenry,ND,0.6
McIntosh,ND,0.2
McKenzie,ND,0.4
McLean,ND,0.6
Mercer,ND,0.4
Morton,ND,0.4
Mountrail,ND,0.8
Nelson,ND,0.2
Oliver,ND,0.6
Pembina,ND,0.4
Pierce,ND,0.4
Ramsey,ND,0.6
Ransom,ND,0.6
Renville,ND,0.6
Richland,ND,0.6
Rolette,ND,0.4
Sargent,ND,0.2
Sheridan,ND,0.4
Sioux,ND,0.2
Slope,ND,0.2
Stark,ND,0.6
Steele,ND,0.8
Stutsman,ND,0.6
Towner,ND,0.8
Traill,ND,0.8
Walsh,ND,0.6
Ward,ND,0.2
Wells,ND,0.4
Williams,ND,0.4
Adams,OH,0.6
Allen,OH,0.6
Ashland,OH,0.4
Ashtabula,OH,0.6
Athens,OH,0.2
Auglaize,OH,0.4
Belmont,OH,0.2
Brown,OH,0.4
Butler,OH,0.6
Carroll,OH,0.6
Champaign,OH,0.6
Clark,OH,0.4
Clermont,OH,0.6
Clinton,OH,0.6
Columbiana,OH,0.6
Coshocton,OH,0.4
Crawford,OH,0.4
Cuyahoga,OH,0.4
Darke,OH,0.4
Defiance,OH,0.6
Delaware,OH,0.6
Erie,OH,0.6
Fairfield,OH,0.6
Fayette,OH,0.6
Franklin,OH,0.4
Fulton,OH,0.4
Gallia,OH,0.6
Geauga,OH,0.6
Greene,OH,0.6
Guernsey,OH,0.4
Hamilton,OH,0.8
Hancock,OH,0.2
Hardin,OH,0.6
Harrison,OH,0.6
Henry,OH,0.6
Highland,OH,0.6
Hocking,OH,0.6
Holmes,OH,0.6
Huron,OH,0.2
Jackson,OH,0.6
Jefferson,OH,0.2
Knox,OH,0.0
Lake,OH,0.8
Lawrence,OH,0.4
Licking,OH,0.6
Logan,OH,0.4
Lorain,OH,0.4
Lucas,OH,0.6
Madison,OH,0.6
Mahoning,OH,0.4
Marion,OH,0.4
Medina,OH,0.6
Meigs,OH,0.6
Mercer,OH,0.4
Miami,OH,0.6
Monroe,OH,0.4
Montgomery,OH,0.6
Morgan,OH,0.6
Morrow,OH,0.4
Muskingum,OH,0.6
Noble,OH,0.6
Ottawa,OH,0.8
Paulding,OH,0.6
Perry,OH,0.4
Pickaway,OH,0.4
Pike,OH,0.6
Portage,OH,0.6
Preble,OH,0.4
Putnam,OH,0.4
Richland,OH,0.6
Ross,OH,0.6
Sandusky,OH,0.8
Scioto,OH,0.4
Seneca,OH,0.2
Shelby,OH,0.4
Stark,OH,0.8
Summit,OH,0.6
Trumbull,OH,0.6
Tuscarawas,OH,0.8
Union,OH,0.4
Van Wert,OH,0.2
Vinton,OH,0.6
Warren,OH,0.6
Washington,OH,0.4
Wayne,OH,0.6
Williams,OH,0.4
Wood,OH,1.0
Wyandot,OH,0.6
Adair,OK,0.6
Alfalfa,OK,0.4
Atoka,OK,0.4
Beaver,OK,0.6
Beckham,OK,0.4
Blaine,OK,0.6
Bryan,OK,0.4
Caddo,OK,0.6
Canadian,OK,0.2
Carter,OK,0.6
Cherokee,OK,0.4
Choctaw,OK,0.4
Cimarron,OK,0.6
Cleveland,OK,0.6
Coal,OK,0.8
Comanche,OK,0.6
Cotton,OK,0.6
Craig,OK,0.6
Creek,OK,0.4
Custer,OK,0.6
Delaware,OK,0.6
Dewey,OK,0.4
Ellis,OK,0.6
Garfield,OK,0.4
Garvin,OK,0.6
Grady,OK,0.4
Grant,OK,0.4
Greer,OK,0.4
Harmon,OK,0.6
Harper,OK,0.4
Haskell,OK,0.2
Hughes,OK,0.2
Jackson,OK,0.6
Jefferson,OK,0.8
Johnston,OK,0.4
Kay,OK,0.4
Kingfisher,OK,0.6
Kiowa,OK,0.4
Latimer,OK,0.2
Le Flore,OK,0.6
Lincoln,OK,0.4
Logan,OK,0.6
Love,OK,0.4
McClain,OK,0.6
McCurtain,OK,0.6
McIntosh,OK,0.4
Major,OK,0.4
Marshall,OK,0.6
Mayes,OK,0.6
Murray,OK,0.6
Muskogee,OK,0.4
Noble,OK,0.4
Nowata,OK,0.4
Okfuskee,OK,0.4
Oklahoma,OK,0.2
Okmulgee,OK,0.4
Osage,OK,0.6
Ottawa,OK,0.4
Pawnee,OK,0.6
Payne,OK,0.4
Pittsburg,OK,0.6
Pontotoc,OK,0.4
Pottawatomie,OK,0.4
Pushmataha,OK,0.4
Roger Mills,OK,0.6
Rogers,OK,0.6
Seminole,OK,0.6
Sequoyah,OK,0.4
Stephens,OK,0.4
Texas,OK,0.8
Tillman,OK,0.6
Tulsa,OK,0.4
Wagoner,OK,0.4
Washington,OK,0.4
Washita,OK,0.6
Woods,OK,0.6
Woodward,OK,0.4
Baker,OR,0.6
Benton,OR,0.4
Clackamas,OR,0.8
Clatsop,OR,0.4
Columbia,OR,0.8
Coos,OR,0.6
Crook,OR,0.6
Curry,OR,0.6
Deschutes,OR,0.6
Douglas,OR,0.6
Gilliam,OR,0.6
Grant,OR,0.2
Harney,OR,0.4
Hood River,OR,0.4
Jackson,OR,0.8
Jefferson,OR,0.6
Josephine,OR,0.6
Klamath,OR,0.4
Lake,OR,0.4
Lane,OR,0.4
Lincoln,OR,0.2
Linn,OR,0.6
Malheur,OR,0.6
Marion,OR,0.8
Morrow,OR,0.6
Multnomah,OR,0.6
Polk,OR,0.6
Sherman,OR,0.6
Tillamook,OR,1.0
Umatilla,OR,0.4
Union,OR,0.6
Wallowa,OR,0.4
Wasco,OR,0.8
Washington,OR,0.2
Wheeler,OR,0.6
Yamhill,OR,0.6
Adams,PA,0.6
Allegheny,PA,0.4
Armstrong,PA,0.6
Beaver,PA,0.2
Bedford,PA,0.4
Berks,PA,0.8
Blair,PA,0.6
Bradford,PA,0.2
Bucks,PA,0.4
Butler,PA,0.6
Cambria,PA,0.6
Cameron,PA,0.4
Carbon,PA,0.6
Centre,PA,0.8
Chester,PA,0.4
Clarion,PA,0.6
Clearfield,PA,0.4
Clinton,PA,0.4
Columbia,PA,0.2
Crawford,PA,0.6
Cumberland,PA,0.6
Dauphin,PA,0.8
Delaware,PA,0.4
Elk,PA,0.6
Erie,PA,0.6
Fayette,PA,0.2
Forest,PA,0.2
Franklin,PA,0.6
Fulton,PA,0.4
Greene,PA,0.2
Huntingdon,PA,0.4
Indiana,PA,0.6
Jefferson,PA,0.4
Juniata,PA,0.6
Lackawanna,PA,0.4
Lancaster,PA,0.4
Lawrence,PA,0.4
Lebanon,PA,0.6
Lehigh,PA,0.4
Luzerne,PA,0.6
Lycoming,PA,0.6
McKean,PA,0.2
Mercer,PA,0.4
Mifflin,PA,0.6
Monroe,PA,0.8
Montgomery,PA,0.4
Montour,PA,0.6
Northampton,PA,0.6
Northumberland,PA,0.4
Perry,PA,0.4
Philadelphia,PA,0.2
Pike,PA,0.2
Potter,PA,0.6
Schuylkill,PA,0.6
Snyder,PA,0.4
Somerset,PA,0.6
Sullivan,PA,0.4
Susquehanna,PA,0.4
Tioga,PA,0.6
Union,PA,0.2
Venango,PA,0.4
Warren,PA,0.4
Washington,PA,0.2
Wayne,PA,0.4
Westmoreland,PA,0.6
Wyoming,PA,0.6
York,PA,0.6
Bristol,RI,0.6
Kent,RI,0.6
Newport,RI,0.4
Providence,RI,0.6
Washington,RI,0.4
Abbeville,SC,0.6
Aiken,SC,0.6
Allendale,SC,0.6
Anderson,SC,0.6
Bamberg,SC,0.4
Barnwell,SC,1.0
Beaufort,SC,0.6
Berkeley,SC,0.6
Calhoun,SC,1.0
Charleston,SC,0.8
Cherokee,SC,0.6
Chester,SC,0.8
Chesterfield,SC,0.6
Clarendon,SC,0.4
Colleton,SC,1.0
Darlington,SC,0.8
Dillon,SC,0.4
Dorchester,SC,0.6
Edgefield,SC,0.6
