YEAR,CANDIDATE,ONES,TWOS,THREES,FOURS,FIVES,SIXES,SEVENS,EIGHTS,NINES
1976,'Hall Gus',0.005914367670523435,0.003150043650604873,0.00212145796877471,0.0018643115483171695,0.00212145796877471,0.0014143053125164735,0.0010928722869445477,0.000835725866487007,0.000835725866487007
1976,'Macbride Roger',0.004473344576973887,0.002331849832677877,0.0017131957954368078,0.0014752519349594735,0.0015704294791504072,0.0010469529861002714,0.0008565978977184039,0.0006662428093365364,0.0006186540372410694
1976,'McCarthy Eugene ""Gene""',0.004473344576973887,0.002331849832677877,0.001665607023341341,0.0014276631628640066,0.0015704294791504072,0.0010469529861002714,0.0008565978977184039,0.0006186540372410694,0.0006186540372410694
1976,'Camejo Peter',0.004520933349069354,0.002379438604773344,0.0017131957954368078,0.0014752519349594735,0.0015704294791504072,0.0010469529861002714,0.0008565978977184039,0.0006662428093365364,0.0006186540372410694
1976,'Anderson Thomas J.',0.005914367670523435,0.003150043650604873,0.00212145796877471,0.0018643115483171695,0.00212145796877471,0.0014143053125164735,0.0010928722869445477,0.0007714392613726219,0.0007071526562582367
1976,'Wright Margaret',0.0019572250132029755,0.0007961593274046002,0.0007629860220960752,0.0005307728849364002,0.0006634661061705002,0.0005639461902449251,0.0002985597477767251,0.00019903983185115006,0.0003317330530852501
1976,'Bubar Benjamin ""Ben""',0.0053510491443062805,0.0030480659682757295,0.002032043978850486,0.0017611047816704214,0.0020997787781455025,0.0014901655844903566,0.0008805523908352107,0.0006096131936551459,0.0007450827922451783
1976,'Larouche Lyndon Jr.',0.005914367670523435,0.003150043650604873,0.00212145796877471,0.0018643115483171695,0.00212145796877471,0.0014143053125164735,0.0010928722869445477,0.0007714392613726219,0.000835725866487007
1976,'Scattering',0.015016473955250907,0.007066575978941603,0.006183253981573903,0.004711050652627735,0.00588881331578467,0.004711050652627735,0.0023555253263138677,0.0017666439947354009,0.0026499659921031013
1976,'Other',0.004473344576973887,0.002379438604773344,0.0017131957954368078,0.0014752519349594735,0.0015704294791504072,0.0010469529861002714,0.0008565978977184039,0.0006662428093365364,0.0006186540372410694
