year,state_po,candidate,party,candidatevotes,totalvotes
1976,AL,"Carter, Jimmy",democrat,659170,1182850
1976,AL,"Ford, Gerald",republican,504070,1182850
1976,AL,"Maddox, Lester",american independent party,9198,1182850
1976,AL,"Bubar, Benjamin",prohibition,6669,1182850
1976,AL,"Hall, Gus",communist party use,1954,1182850
1976,AL,"Macbride, Roger",libertarian,1481,1182850
1976,AL,,,308,1182850
1976,AK,"Ford, Gerald",republican,71555,123574
1976,AK,"Carter, Jimmy",democrat,44058,123574
1976,AK,"Macbride, Roger",libertarian,6785,123574
1976,AK,,,1176,123574
1976,AZ,"Ford, Gerald",republican,418642,742719
1976,AZ,"Carter, Jimmy",democrat,295602,742719
1976,AZ,"McCarthy, Eugene """"Gene""""",independent,19229,742719
1976,AZ,"Macbride, Roger",libertarian,7647,742719
1976,AZ,"Camejo, Peter",socialist workers,928,742719
1976,AZ,"Anderson, Thomas J.",american,564,742719
1976,AZ,"Maddox, Lester",american independent party,85,742719
1976,AZ,,,22,742719
1976,AR,"Carter, Jimmy",democrat,498604,767535
1976,AR,"Ford, Gerald",republican,267903,767535
1976,AR,,independent,639,767535
1976,AR,"Maddox, Lester",american independent party,389,767535
1976,CA,"Ford, Gerald",republican,3882244,7803770
1976,CA,"Carter, Jimmy",democrat,3742284,7803770
1976,CA,"Macbride, Roger",independent,56388,7803770
1976,CA,"Maddox, Lester",american independent party,51098,7803770
1976,CA,"Wright, Margaret",peace & freedom,41731,7803770
1976,CA,"Camejo, Peter",independent,17259,7803770
1976,CA,"Hall, Gus",independent,12766,7803770
1976,CO,"Ford, Gerald",republican,584278,1081440
1976,CO,"Carter, Jimmy",democrat,460801,1081440
1976,CO,"McCarthy, Eugene """"Gene""""",independent,26047,1081440
1976,CO,"Macbride, Roger",libertarian,5338,1081440
1976,CO,"Bubar, Benjamin """"Ben""""",prohibition,2886,1081440
1976,CO,"Camejo, Peter",socialist workers,1122,1081440
1976,CO,"Larouche, Lyndon, Jr.",u.s. labor,565,1081440
1976,CO,"Hall, Gus",communist party use,403,1081440
1976,CT,"Ford, Gerald",republican,719261,1386355
1976,CT,"Carter, Jimmy",democrat,647895,1386355
1976,CT,Scattering,,10309,1386355
1976,CT,"Maddox, Lester",american independent party,7101,1386355
1976,CT,"Larouche, Lyndon, Jr.",u.s. labor,1789,1386355
1976,DE,"Carter, Jimmy",democrat,122461,235642
1976,DE,"Ford, Gerald",republican,109780,235642
1976,DE,,no party affiliation,2432,235642
1976,DE,"Anderson, Thomas J.",american,645,235642
1976,DE,"Larouche, Lyndon, Jr.",u.s. labor,135,235642
1976,DE,"Bubar, Benjamin """"Ben""""",prohibition,103,235642
1976,DE,,socialist labor,86,235642
1976,DC,"Carter, Jimmy",democrat,137818,168830
1976,DC,"Ford, Gerald",republican,27873,168830
1976,DC,Other,,1656,168830
1976,DC,,independent,1195,168830
1976,DC,,,288,168830
1976,FL,"Carter, Jimmy",democrat,1636000,3150631
1976,FL,"Ford, Gerald",republican,1469531,3150631
1976,FL,"McCarthy, Eugene """"Gene""""",independent,23643,3150631
1976,FL,"Anderson, Thomas J.",american,21325,3150631
1976,FL,,,132,3150631
1976,GA,"Carter, Jimmy",democrat,979409,1463152
1976,GA,"Ford, Gerald",republican,483743,1463152
1976,HI,"Carter, Jimmy",democrat,147375,291301
1976,HI,"Ford, Gerald",republican,140003,291301
1976,HI,"Macbride, Roger",libertarian,3923,291301
1976,ID,"Ford, Gerald",republican,204151,340932
1976,ID,"Carter, Jimmy",democrat,126549,340932
1976,ID,"Maddox, Lester",american,5935,340932
1976,ID,"Macbride, Roger",libertarian,3558,340932
1976,ID,"Larouche, Lyndon, Jr.",u.s. labor,739,340932
1976,IL,"Ford, Gerald",republican,2364269,4721282
1976,IL,"Carter, Jimmy",democrat,2271295,4721282
1976,IL,"McCarthy, Eugene """"Gene""""",independent,55939,4721282
1976,IL,"Hall, Gus",communist party use,9250,4721282
1976,IL,"Macbride, Roger",libertarian,8057,4721282
1976,IL,,,4417,4721282
1976,IL,"Camejo, Peter",socialist workers,3615,4721282
1976,IL,"Julius """"Jules"""", Levin",socialist labor,2422,4721282
1976,IL,"Larouche, Lyndon, Jr.",u.s. labor,2018,4721282
1976,IN,"Ford, Gerald",republican,1183958,2220362
1976,IN,"Carter, Jimmy",democrat,1014714,2220362
1976,IN,"Anderson, Thomas J.",american,14048,2220362
1976,IN,"Camejo, Peter",socialist workers,5695,2220362
1976,IN,"Larouche, Lyndon, Jr.",u.s. labor,1947,2220362
1976,IA,"Ford, Gerald",republican,632864,1279303
1976,IA,"Carter, Jimmy",democrat,619931,1279303
1976,IA,"McCarthy, Eugene """"Gene""""",independent,20057,1279303
1976,IA,"Anderson, Thomas J.",american party of iowa,3041,1279303
1976,IA,"Macbride, Roger",libertarian,1454,1279303
1976,IA,"Hall, Gus",communist party use,551,1279303
1976,IA,Scattering,,509,1279303
1976,IA,"Camejo, Peter",socialist workers,262,1279303
1976,IA,"Larouche, Lyndon, Jr.",u.s. labor,241,1279303
1976,IA,"Zeidler, Frank",socialist u.s.a.,233,1279303
1976,IA,"Julius """"Jules"""", Levin",socialist labor,160,1279303
1976,KS,"Ford, Gerald",republican,502752,957845
1976,KS,"Carter, Jimmy",democrat,430421,957845
1976,KS,"McCarthy, Eugene """"Gene""""",independent,13185,957845
1976,KS,"Anderson, Thomas J.",american,4724,957845
1976,KS,"Macbride, Roger",independent,3242,957845
1976,KS,"Maddox, Lester",conservative,2118,957845
1976,KS,"Bubar, Benjamin """"Ben""""",prohibition,1403,957845
1976,KY,"Carter, Jimmy",democrat,615717,1167142
1976,KY,"Ford, Gerald",republican,531852,1167142
1976,KY,"Anderson, Thomas J.",american,8308,1167142
1976,KY,"McCarthy, Eugene """"Gene""""",independent,6837,1167142
1976,KY,"Maddox, Lester",american independent party,2328,1167142
1976,KY,"Macbride, Roger",libertarian,814,1167142
1976,KY,"Larouche, Lyndon, Jr.",u.s. labor,510,1167142
1976,KY,"Hall, Gus",communist party use,426,1167142
1976,KY,"Camejo, Peter",socialist workers,350,1167142
1976,LA,"Carter, Jimmy",democrat,661365,1277383
1976,LA,"Ford, Gerald",republican,587446,1277383
1976,LA,"Maddox, Lester",american independent party,10058,1277383
1976,LA,"Hall, Gus",communist party use,7417,1277383
1976,LA,"McCarthy, Eugene """"Gene""""",independent,6490,1277383
1976,LA,"Macbride, Roger",libertarian,3134,1277383
1976,LA,"Camejo, Peter",socialist workers,1473,1277383
1976,ME,"Ford, Gerald",republican,236320,482968
1976,ME,"Carter, Jimmy",democrat,232279,482968
1976,ME,"McCarthy, Eugene """"Gene""""",independent,10874,482968
1976,ME,"Bubar, Benjamin """"Ben""""",prohibition,3495,482968
1976,MD,"Carter, Jimmy",democrat,759612,1432273
1976,MD,"Ford, Gerald",republican,672661,1432273
1976,MA,"Carter, Jimmy",democrat,1429475,2547558
1976,MA,"Ford, Gerald",republican,1030276,2547558
1976,MA,"McCarthy, Eugene """"Gene""""",independent,65637,2547558
1976,MA,"Camejo, Peter",socialist workers,8138,2547558
1976,MA,"Anderson, Thomas J.",american,7555,2547558
1976,MA,"Larouche, Lyndon, Jr.",u.s. labor,4922,2547558
1976,MA,Scattering,,1401,2547558
1976,MA,"Macbride, Roger",libertarian,135,2547558
1976,MA,"Julius """"Jules"""", Levin",socialist labor,19,2547558
1976,MI,"Ford, Gerald",republican,1893742,3651590
1976,MI,"Carter, Jimmy",democrat,1696714,3651590
1976,MI,"McCarthy, Eugene """"Gene""""",independent,47905,3651590
1976,MI,"Macbride, Roger",libertarian,5407,3651590
1976,MI,"Wright, Margaret",human rights,3504,3651590
1976,MI,"Camejo, Peter",socialist workers,1804,3651590
1976,MI,"Larouche, Lyndon, Jr.",u.s. labor,1366,3651590
1976,MI,"Julius """"Jules"""", Levin",socialist labor,1148,3651590
1976,MN,"Carter, Jimmy",democrat,1070440,1949931
1976,MN,"Ford, Gerald",republican,819395,1949931
1976,MN,"McCarthy, Eugene """"Gene""""",mccarthy '76,35490,1949931
1976,MN,"Anderson, Thomas J.",american,13592,1949931
1976,MN,"Camejo, Peter",socialist workers,4149,1949931
1976,MN,"Macbride, Roger",libertarian,3529,1949931
1976,MN,"Hall, Gus",communist party use,1092,1949931
1976,MN,"Wright, Margaret",people's,635,1949931
1976,MN,"Larouche, Lyndon, Jr.",international development bank,543,1949931
1976,MN,"Julius """"Jules"""", Levin",industrial government party,370,1949931
1976,MN,"Zeidler, Frank",socialist,354,1949931
1976,MN,,,342,1949931
1976,MS,"Carter, Jimmy",democrat,381329,768390
1976,MS,"Ford, Gerald",republican,366846,768390
1976,MS,"Anderson, Thomas J.",american,6678,768390
1976,MS,"McCarthy, Eugene """"Gene""""",independent,4074,768390
1976,MS,"Maddox, Lester",american independent party,4049,768390
1976,MS,"Camejo, Peter",socialist workers,2805,768390
1976,MS,"Macbride, Roger",libertarian,2609,768390
1976,MO,"Carter, Jimmy",democrat,998387,1953600
1976,MO,"Ford, Gerald",republican,927443,1953600
1976,MO,"McCarthy, Eugene """"Gene""""",independent,24029,1953600
1976,MO,Other,,3741,1953600
1976,MT,"Ford, Gerald",republican,173703,328734
1976,MT,"Carter, Jimmy",democrat,149259,328734
1976,MT,"Anderson, Thomas J.",american,5772,328734
1976,NE,"Ford, Gerald",republican,359219,606749
1976,NE,"Carter, Jimmy",democrat,233293,606749
1976,NE,"McCarthy, Eugene """"Gene""""",independent,9383,606749
1976,NE,"Maddox, Lester",american independent party,3378,606749
1976,NE,"Macbride, Roger",libertarian,1476,606749
1976,NV,"Ford, Gerald",republican,101273,201876
1976,NV,"Carter, Jimmy",democrat,92479,201876
1976,NV,Other,,5108,201876
1976,NV,"Macbride, Roger",libertarian,1519,201876
1976,NV,"Maddox, Lester",american independent party,1497,201876
1976,NH,"Ford, Gerald",republican,185935,339627
1976,NH,"Carter, Jimmy",democrat,147645,339627
1976,NH,"McCarthy, Eugene """"Gene""""",independent,4095,339627
1976,NH,"Macbride, Roger",libertarian,936,339627
1976,NH,Scattering,,603,339627
1976,NH,"Larouche, Lyndon, Jr.",u.s. labor,186,339627
1976,NH,"Camejo, Peter",socialist workers,161,339627
1976,NH,"Julius """"Jules"""", Levin",socialist labor,66,339627
1976,NJ,"Ford, Gerald",republican,1509688,3014472
1976,NJ,"Carter, Jimmy",democrat,1444653,3014472
1976,NJ,"McCarthy, Eugene """"Gene""""",independent,32717,3014472
1976,NJ,"Macbride, Roger",libertarian,9449,3014472
1976,NJ,"Maddox, Lester",american independent party,7716,3014472
1976,NJ,"Julius """"Jules"""", Levin",socialist labor,3686,3014472
1976,NJ,"Hall, Gus",communist party use,1662,3014472
1976,NJ,"Larouche, Lyndon, Jr.",u.s. labor,1650,3014472
1976,NJ,"Camejo, Peter",socialist workers,1184,3014472
1976,NJ,"Wright, Margaret",peace & freedom,1044,3014472
1976,NJ,"Bubar, Benjamin """"Ben""""",prohibition,554,3014472
1976,NJ,"Zeidler, Frank",socialist,469,3014472
1976,NM,"Ford, Gerald",republican,211419,416590
1976,NM,"Carter, Jimmy",democrat,201148,416590
1976,NM,"Camejo, Peter",socialist workers,2462,416590
1976,NM,"Macbride, Roger",libertarian,1110,416590
1976,NM,"Zeidler, Frank",socialist,240,416590
1976,NM,"Bubar, Benjamin """"Ben""""",prohibition,211,416590
1976,NY,"Carter, Jimmy",democrat,3244165,6668262
1976,NY,"Ford, Gerald",republican,2825913,6668262
1976,NY,"Ford, Gerald",conservative,274878,6668262
1976,NY,"Carter, Jimmy",liberal party,145393,6668262
1976,NY,Other,,143037,6668262
1976,NY,"Macbride, Roger",free libertarian,12197,6668262
1976,NY,"Hall, Gus",communist party use,10270,6668262
1976,NY,"Camejo, Peter",socialist workers,6996,6668262
1976,NY,"Larouche, Lyndon, Jr.",labor,5413,6668262
1976,NC,"Carter, Jimmy",democrat,927365,1677906
1976,NC,"Ford, Gerald",republican,741960,1677906
1976,NC,"Anderson, Thomas J.",american,5607,1677906
1976,NC,"Macbride, Roger",libertarian,2219,1677906
1976,NC,"Larouche, Lyndon, Jr.",u.s. labor,755,1677906
1976,ND,"Ford, Gerald",republican,153684,297308
1976,ND,"Carter, Jimmy",democrat,136078,297308
1976,ND,"Anderson, Thomas J.",american,3698,297308
1976,ND,"McCarthy, Eugene """"Gene""""",independent,2952,297308
1976,ND,"Maddox, Lester",american independent party,269,297308
1976,ND,"Macbride, Roger",libertarian,256,297308
1976,ND,"Larouche, Lyndon, Jr.",u.s. labor,142,297308
1976,ND,"Hall, Gus",communist party use,85,297308
1976,ND,"Bubar, Benjamin """"Ben""""",prohibition,63,297308
1976,ND,"Camejo, Peter",socialist workers,43,297308
1976,ND,"Zeidler, Frank",socialist,38,297308
1976,OH,"Carter, Jimmy",democrat,2009959,4110456
1976,OH,"Ford, Gerald",republican,2000626,4110456
1976,OH,"McCarthy, Eugene """"Gene""""",independent,58267,4110456
1976,OH,"Maddox, Lester",american independent party,15508,4110456
1976,OH,"Macbride, Roger",libertarian,8952,4110456
1976,OH,"Hall, Gus",communist party use,7817,4110456
1976,OH,"Camejo, Peter",socialist workers,4833,4110456
1976,OH,"Larouche, Lyndon, Jr.",u.s. labor,4364,4110456
1976,OH,"Julius """"Jules"""", Levin",socialist labor,68,4110456
1976,OH,"Bubar, Benjamin """"Ben""""",prohibition,62,4110456
1976,OK,"Ford, Gerald",republican,545708,1092251
1976,OK,"Carter, Jimmy",democrat,532442,1092251
1976,OK,"McCarthy, Eugene """"Gene""""",independent,14101,1092251
1976,OR,"Ford, Gerald",republican,492120,1029876
1976,OR,"Carter, Jimmy",democrat,490407,1029876
1976,OR,"McCarthy, Eugene """"Gene""""",independent,40207,1029876
1976,OR,,,6107,1029876
1976,OR,"Anderson, Thomas J.",american,1035,1029876
1976,PA,"Carter, Jimmy",democrat,2328677,4620787
1976,PA,"Ford, Gerald",republican,2205604,4620787
1976,PA,"McCarthy, Eugene """"Gene""""",mccarthy '76,50584,4620787
1976,PA,"Maddox, Lester",constitution party,25344,4620787
1976,PA,"Camejo, Peter",socialist workers,3009,4620787
1976,PA,Other,,2934,4620787
1976,PA,"Larouche, Lyndon, Jr.",u.s. labor,2744,4620787
1976,PA,"Hall, Gus",communist party use,1891,4620787
1976,RI,"Carter, Jimmy",democrat,227636,410584
1976,RI,"Ford, Gerald",republican,181249,410584
1976,RI,"Macbride, Roger",libertarian,715,410584
1976,RI,"Camejo, Peter",socialist workers,462,410584
1976,RI,"Hall, Gus",communist party use,334,410584
1976,RI,"Julius """"Jules"""", Levin",socialist labor,188,410584
1976,SC,"Carter, Jimmy",democrat,450807,802583
1976,SC,"Ford, Gerald",republican,346149,802583
1976,SC,"Anderson, Thomas J.",american,2996,802583
1976,SC,"Maddox, Lester",american independent party,1950,802583
1976,SC,,,681,802583
1976,SD,"Ford, Gerald",republican,151505,300678
1976,SD,"Carter, Jimmy",democrat,147068,300678
1976,SD,"Macbride, Roger",libertarian,1619,300678
1976,SD,"Hall, Gus",communist party use,318,300678
1976,SD,"Camejo, Peter",socialist workers,168,300678
1976,TN,"Carter, Jimmy",democrat,825879,1476346
1976,TN,"Ford, Gerald",republican,633969,1476346
1976,TN,"Anderson, Thomas J.",independent,5769,1476346
1976,TN,"McCarthy, Eugene """"Gene""""",independent,5004,1476346
1976,TN,"Maddox, Lester",independent,2303,1476346
1976,TN,"Macbride, Roger",independent,1375,1476346
1976,TN,"Hall, Gus",independent,547,1476346
1976,TN,"Larouche, Lyndon, Jr.",independent,512,1476346
1976,TN,"Bubar, Benjamin """"Ben""""",independent,442,1476346
1976,TN,,independent,316,1476346
1976,TN,,,230,1476346
1976,TX,"Carter, Jimmy",democrat,2082319,4071884
1976,TX,"Ford, Gerald",republican,1953300,4071884
1976,TX,"McCarthy, Eugene """"Gene""""",independent,20118,4071884
1976,TX,"Anderson, Thomas J.",american,11442,4071884
1976,TX,,,2982,4071884
1976,TX,"Camejo, Peter",socialist workers,1723,4071884
1976,UT,"Ford, Gerald",republican,337908,541218
1976,UT,"Carter, Jimmy",democrat,182110,541218
1976,UT,"Anderson, Thomas J.",american,13304,541218
1976,UT,"McCarthy, Eugene """"Gene""""",independent,3907,541218
1976,UT,"Macbride, Roger",liberal party,2438,541218
1976,UT,"Maddox, Lester",concerned citizens,1162,541218
1976,UT,"Camejo, Peter",independent,268,541218
1976,UT,"Hall, Gus",independent,121,541218
1976,VT,"Ford, Gerald",republican,100387,183902
1976,VT,"Carter, Jimmy",democrat,77798,183902
1976,VT,"McCarthy, Eugene """"Gene""""",independent,4001,183902
1976,VT,Other,,1090,183902
1976,VT,"Camejo, Peter",socialist workers,430,183902
1976,VT,"Larouche, Lyndon, Jr.",u.s. labor,196,183902
1976,VA,"Ford, Gerald",republican,836554,1697094
1976,VA,"Carter, Jimmy",democrat,813896,1697094
1976,VA,"Camejo, Peter",socialist workers,17802,1697094
1976,VA,"Anderson, Thomas J.",american,16686,1697094
1976,VA,"Larouche, Lyndon, Jr.",u.s. labor,7508,1697094
1976,VA,"Macbride, Roger",libertarian,4648,1697094
1976,WA,"Ford, Gerald",republican,777732,1555534
1976,WA,"Carter, Jimmy",democrat,717323,1555534
1976,WA,"McCarthy, Eugene """"Gene""""",independent,36986,1555534
1976,WA,"Maddox, Lester",american independent party,8585,1555534
1976,WA,Other,,5482,1555534
1976,WA,"Macbride, Roger",libertarian,5042,1555534
1976,WA,"Anderson, Thomas J.",constitution party,1046,1555534
1976,WA,"Camejo, Peter",socialist workers,905,1555534
1976,WA,"Larouche, Lyndon, Jr.",u.s. labor,903,1555534
1976,WA,"Hall, Gus",communist party use,817,1555534
1976,WA,"Julius """"Jules"""", Levin",socialist labor,713,1555534
1976,WV,"Carter, Jimmy",democrat,435864,750590
1976,WV,"Ford, Gerald",republican,314726,750590
1976,WI,"Carter, Jimmy",democrat,1040232,2101336
1976,WI,"Ford, Gerald",republican,1004987,2101336
1976,WI,"McCarthy, Eugene """"Gene""""",independent,34943,2101336
1976,WI,"Maddox, Lester",american independent party,8552,2101336
1976,WI,"Zeidler, Frank",socialist,4298,2101336
1976,WI,"Macbride, Roger",libertarian,3814,2101336
1976,WI,Other,,2430,2101336
1976,WI,"Camejo, Peter",socialist workers,1691,2101336
1976,WI,"Julius """"Jules"""", Levin",socialist labor,389,2101336
1976,WY,"Ford, Gerald",republican,92717,156343
1976,WY,"Carter, Jimmy",democrat,62239,156343
1976,WY,,,1387,156343
1980,AL,"Reagan, Ronald",republican,654192,1341929
1980,AL,"Carter, Jimmy",democrat,636730,1341929
1980,AL,"Anderson, John B.",independent,16481,1341929
1980,AL,"Rarick, John",conservative,15010,1341929
1980,AL,"Clark, Edward """"Ed""""",libertarian,13318,1341929
1980,AL,"Bubar, Benjamin """"Ben""""",statesman,1743,1341929
1980,AL,"Hall, Gus",communist party use,1629,1341929
1980,AL,"Deberry, Clifton",socialist workers,1303,1341929
1980,AL,"McReynolds, David",socialist,1006,1341929
1980,AL,"Commoner, Barry",citizens,517,1341929
1980,AK,"Reagan, Ronald",republican,86112,158445
1980,AK,"Carter, Jimmy",democrat,41842,158445
1980,AK,"Clark, Edward """"Ed""""",libertarian,18479,158445
1980,AK,"Anderson, John B.",independent,11155,158445
1980,AK,,,857,158445
1980,AZ,"Reagan, Ronald",republican,529688,873945
1980,AZ,"Carter, Jimmy",democrat,246843,873945
1980,AZ,"Anderson, John B.",independent,76952,873945
1980,AZ,"Clark, Edward """"Ed""""",libertarian,18784,873945
1980,AZ,"Deberry, Clifton",socialist workers,1100,873945
1980,AZ,"Commoner, Barry",citizens,551,873945
1980,AZ,"Hall, Gus",communist party use,25,873945
1980,AZ,"Griswold, Deirdre",workers world,2,873945
1980,AR,"Reagan, Ronald",republican,403164,837582
1980,AR,"Carter, Jimmy",democrat,398041,837582
1980,AR,"Anderson, John B.",independent,22468,837582
1980,AR,"Clark, Edward """"Ed""""",libertarian,8970,837582
1980,AR,"Commoner, Barry",citizens,2345,837582
1980,AR,"Bubar, Benjamin """"Ben""""",statesman,1350,837582
1980,AR,"Hall, Gus",communist party use,1244,837582
1980,CA,"Reagan, Ronald",republican,4522994,8582938
1980,CA,"Carter, Jimmy",democrat,3082943,8582938
1980,CA,"Anderson, John B.",independent,739618,8582938
1980,CA,"Clark, Edward """"Ed""""",libertarian,148390,8582938
1980,CA,"Commoner, Barry",citizens,61046,8582938
1980,CA,"Smith, Maureen",peace & freedom,18106,8582938
1980,CA,"Rarick, John",american independent party,9841,8582938
1980,CO,"Reagan, Ronald",republican,652264,1184450
1980,CO,"Carter, Jimmy",democrat,368009,1184450
1980,CO,"Anderson, John B.",national unity campaign,130633,1184450
1980,CO,"Clark, Edward """"Ed""""",libertarian,25744,1184450
1980,CO,"Commoner, Barry",citizens,5614,1184450
1980,CO,"Bubar, Benjamin """"Ben""""",statesman,1180,1184450
1980,CO,"Pulley, Andrew",socialist workers,519,1184450
1980,CO,"Hall, Gus",communist party use,487,1184450
1980,CT,"Reagan, Ronald",republican,677210,1406285
1980,CT,"Carter, Jimmy",democrat,541732,1406285
1980,CT,"Anderson, John B.",anderson coalition,171807,1406285
1980,CT,"Clark, Edward """"Ed""""",libertarian,8570,1406285
1980,CT,"Commoner, Barry",citizens,6130,1406285
1980,CT,,,836,1406285
1980,DE,"Reagan, Ronald",republican,111252,235668
1980,DE,"Carter, Jimmy",democrat,105754,235668
1980,DE,"Anderson, John B.",independent,16288,235668
1980,DE,"Clark, Edward """"Ed""""",libertarian,1974,235668
1980,DE,"Greaves, Percy L, Jr.",american,400,235668
1980,DC,"Carter, Jimmy",democrat,130231,173889
1980,DC,"Reagan, Ronald",republican,23313,173889
1980,DC,"Anderson, John B.",independent,16131,173889
1980,DC,"Commoner, Barry",citizens,1826,173889
1980,DC,"Clark, Edward """"Ed""""",libertarian,1104,173889
1980,DC,,,690,173889
1980,DC,"Hall, Gus",communist party use,369,173889
1980,DC,"Deberry, Clifton",socialist workers,173,173889
1980,DC,"Griswold, Deirdre",workers world,52,173889
1980,FL,"Reagan, Ronald",republican,2046951,3686927
1980,FL,"Carter, Jimmy",democrat,1419475,3686927
1980,FL,"Anderson, John B.",independent,189692,3686927
1980,FL,"Clark, Edward """"Ed""""",libertarian,30524,3686927
1980,FL,,,285,3686927
1980,GA,"Carter, Jimmy",democrat,890955,1596805
1980,GA,"Reagan, Ronald",republican,654168,1596805
1980,GA,"Anderson, John B.",independent,36055,1596805
1980,GA,"Clark, Edward """"Ed""""",libertarian,15627,1596805
1980,HI,"Carter, Jimmy",democrat,135879,303287
1980,HI,"Reagan, Ronald",republican,130112,303287
1980,HI,"Anderson, John B.",independent,32021,303287
1980,HI,"Clark, Edward """"Ed""""",libertarian,3269,303287
1980,HI,"Commoner, Barry",citizens,1548,303287
1980,HI,"Hall, Gus",communist party use,458,303287
1980,ID,"Reagan, Ronald",republican,290699,437431
1980,ID,"Carter, Jimmy",democrat,110192,437431
1980,ID,"Anderson, John B.",independent,27058,437431
1980,ID,"Clark, Edward """"Ed""""",libertarian,8425,437431
1980,ID,"Rarick, John",american independent party,1057,437431
1980,IL,"Reagan, Ronald",republican,2358049,4749721
1980,IL,"Carter, Jimmy",democrat,1981413,4749721
1980,IL,"Anderson, John B.",independent,346754,4749721
1980,IL,"Clark, Edward """"Ed""""",libertarian,38939,4749721
1980,IL,"Commoner, Barry",citizens,10692,4749721
1980,IL,"Hall, Gus",communist party use,9711,4749721
1980,IL,"Griswold, Deirdre",workers world,2257,4749721
1980,IL,"Deberry, Clifton",socialist workers,1302,4749721
1980,IL,,,604,4749721
1980,IN,"Reagan, Ronald",republican,1255656,2242033
1980,IN,"Carter, Jimmy",democrat,844197,2242033
1980,IN,"Anderson, John B.",independent,111639,2242033
1980,IN,"Clark, Edward """"Ed""""",libertarian,19627,2242033
1980,IN,"Commoner, Barry",citizens,4852,2242033
1980,IN,"Greaves, Percy L, Jr.",american,4750,2242033
1980,IN,"Hall, Gus",communist party use,702,2242033
1980,IN,"Deberry, Clifton",socialist workers,610,2242033
1980,IA,"Reagan, Ronald",republican,676026,1317661
1980,IA,"Carter, Jimmy",democrat,508672,1317661
1980,IA,"Anderson, John B.",nominated by petition,115633,1317661
1980,IA,"Clark, Edward """"Ed""""",libertarian,13123,1317661
1980,IA,"Commoner, Barry",citizens,2273,1317661
1980,IA,"McReynolds, David",socialist,534,1317661
1980,IA,,,519,1317661
1980,IA,"Hall, Gus",communist party use,298,1317661
1980,IA,"Deberry, Clifton",socialist workers,244,1317661
1980,IA,"Greaves, Percy L, Jr.",american,189,1317661
1980,IA,"Bubar, Benjamin """"Ben""""",statesman,150,1317661
1980,KS,"Reagan, Ronald",republican,566812,979795
1980,KS,"Carter, Jimmy",democrat,326150,979795
1980,KS,"Anderson, John B.",independent,68231,979795
1980,KS,"Clark, Edward """"Ed""""",libertarian,14470,979795
1980,KS,"Shelton, Frank, Jr.",american,1555,979795
1980,KS,"Hall, Gus",communist party use,967,979795
1980,KS,"Bubar, Benjamin """"Ben""""",statesman,821,979795
1980,KS,"Rarick, John",american independent party,789,979795
1980,KY,"Reagan, Ronald",republican,635274,1295627
1980,KY,"Carter, Jimmy",democrat,617417,1295627
1980,KY,"Anderson, John B.",independent,31127,1295627
1980,KY,"Clark, Edward """"Ed""""",libertarian,5531,1295627
1980,KY,"McCormack, Ellen",respect for life,4233,1295627
1980,KY,"Commoner, Barry",citizens,1304,1295627
1980,KY,"Pulley, Andrew",socialist workers,393,1295627
1980,KY,"Hall, Gus",communist party use,348,1295627
1980,LA,"Reagan, Ronald",republican,792853,1548591
1980,LA,"Carter, Jimmy",democrat,708453,1548591
1980,LA,"Anderson, John B.",independent,26345,1548591
1980,LA,"Rarick, John",american independent party,10333,1548591
1980,LA,"Clark, Edward """"Ed""""",libertarian,8240,1548591
1980,LA,"Commoner, Barry",citizens,1584,1548591
1980,LA,"Deberry, Clifton",socialist workers,783,1548591
1980,ME,"Reagan, Ronald",republican,238522,523011
1980,ME,"Carter, Jimmy",democrat,220974,523011
1980,ME,"Anderson, John B.",independent,53327,523011
1980,ME,"Clark, Edward """"Ed""""",libertarian,5119,523011
1980,ME,"Commoner, Barry",citizens,4394,523011
1980,ME,"Hall, Gus",communist party use,591,523011
1980,ME,,,84,523011
1980,MD,"Carter, Jimmy",democrat,726161,1540496
1980,MD,"Reagan, Ronald",republican,680606,1540496
1980,MD,"Anderson, John B.",independent,119537,1540496
1980,MD,"Clark, Edward """"Ed""""",libertarian,14192,1540496
1980,MA,"Reagan, Ronald",republican,1057631,2524090
1980,MA,"Carter, Jimmy",democrat,1053802,2524090
1980,MA,"Anderson, John B.",independent,382539,2524090
1980,MA,"Clark, Edward """"Ed""""",libertarian,22038,2524090
1980,MA,"Deberry, Clifton",socialist workers,3735,2524090
1980,MA,,,2289,2524090
1980,MA,"Commoner, Barry",citizens,2056,2524090
1980,MI,"Reagan, Ronald",republican,1915225,3909725
1980,MI,"Carter, Jimmy",democrat,1661532,3909725
1980,MI,"Anderson, John B.",independent,275223,3909725
1980,MI,"Clark, Edward """"Ed""""",libertarian,41597,3909725
1980,MI,"Commoner, Barry",citizens,11930,3909725
1980,MI,"Hall, Gus",communist party use,3262,3909725
1980,MI,,,956,3909725
1980,MN,"Carter, Jimmy",democrat,954173,2051916
1980,MN,"Reagan, Ronald",republican,873268,2051916
1980,MN,"Anderson, John B.",independent,174997,2051916
1980,MN,"Clark, Edward """"Ed""""",libertarian,31593,2051916
1980,MN,"Commoner, Barry",citizens,8406,2051916
1980,MN,,american,6136,2051916
1980,MN,"Hall, Gus",communist party use,1117,2051916
1980,MN,"Deberry, Clifton",socialist workers,711,2051916
1980,MN,"Griswold, Deirdre",workers world,698,2051916
1980,MN,"McReynolds, David",socialist,536,2051916
